date,state,checkins,unique_ind,unique_loc,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2020-12-03,Negeri Sembilan,534832.0,262182.0,23168.0,52.0,0.0,54.0,1173.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,49.0,2.0,0.0,0.0,0.0,20.0,21.0,4.0,4.0,1.0,1.0,0.0
2020-12-03,Pahang,627312.0,279800.0,27556.0,4.0,0.0,1.0,12.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,Perak,1063208.0,478124.0,50521.0,26.0,0.0,118.0,535.0,23.0,26.0,0.0,0.0,0.0,5.0,1.0,19.0,1.0,1.0,4.0,1.0,7.0,6.0,2.0,4.0,1.0,0.0,0.0
2020-12-03,Perlis,158714.0,100259.0,8228.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,Pulau Pinang,1129316.0,521393.0,44934.0,43.0,0.0,48.0,343.0,36.0,43.0,0.0,0.0,0.0,4.0,0.0,37.0,2.0,2.0,2.0,0.0,24.0,6.0,6.0,1.0,2.0,0.0,0.0
2020-12-03,Sabah,743625.0,310332.0,32972.0,310.0,0.0,409.0,2713.0,65.0,310.0,0.0,0.0,0.0,53.0,22.0,211.0,20.0,17.0,36.0,22.0,83.0,56.0,36.0,36.0,16.0,3.0,1.0
2020-12-03,Sarawak,1274706.0,492475.0,37813.0,1.0,0.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,Selangor,3876525.0,1880515.0,130314.0,459.0,1.0,106.0,3466.0,337.0,459.0,0.0,0.0,0.0,6.0,3.0,377.0,8.0,2.0,4.0,3.0,211.0,123.0,33.0,10.0,5.0,3.0,0.0
2020-12-03,Terengganu,168587.0,99458.0,12130.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,W.P. Kuala Lumpur,,,,49.0,1.0,166.0,1332.0,32.0,49.0,0.0,0.0,0.0,5.0,5.0,38.0,1.0,1.0,4.0,5.0,17.0,13.0,6.0,2.0,1.0,0.0,0.0
2020-12-03,W.P. KualaLumpur,3373169.0,1526686.0,90411.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03,W.P. Labuan,52735.0,22721.0,1772.0,9.0,1.0,11.0,305.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
